"","x"
"ABpraaaapppa",-19
"ABpraaaapppp",-19
"ABpraaap",-11
"ABpraaapa",-11
"ABpraaapaa",-11
"ABpraaapaad",-11
"ABpraaapaav",-11
"ABpraaapap",-11
"ABpraaapapa",-11
"ABpraaapapaa",-11
"ABpraaapapap",-11
"ABpraaapapp",-11
"ABpraaapp",-11
"ABpraaappa",-11
"ABpraaappaa",-11
"ABpraaappap",-11
"ABpraaappp",-11
"ABpraaapppa",-11
"ABpraaapppaa",-11
"ABpraaapppap",-11
"ABpraaapppp",-11
"ABpraaappppa",-11
"ABpraaappppp",-11
"ABpraap",-76
"ABpraapa",-60
"ABpraapaa",-60
"ABpraapaaa",11
"ABpraapaaaa",11
"ABpraapaaap",11
"ABpraapaap",-60
"ABpraapaapa",-60
"ABpraapaapp",-60
"ABpraapap",-27
"ABpraapapa",-27
"ABpraapapaa",-27
"ABpraapapap",-27
"ABpraapapp",-27
"ABpraapappa",-27
"ABpraapappp",-27
"ABpraapapppa",-27
"ABpraapapppp",-27
"ABpraapp",-76
"ABpraappa",-76
"ABpraappaa",-69
"ABpraappap",-14
"ABpraappp",-69
"ABpraapppa",-46
"ABpraapppp",-42
"ABprap",-79
"ABprapa",-79
"ABprapaa",-61
"ABprapaaa",-46
"ABprapaaaa",-46
"ABprapaaaaa",-46
"ABprapaaaap",-46
"ABprapaaaapa",-46
"ABprapaaaapp",-46
"ABprapaaap",-42
"ABprapaaapa",-42
"ABprapaaapad",-42
"ABprapaaapav",-42
"ABprapaaapp",-42
"ABprapaap",-61
"ABprapaapa",42
"ABprapaapp",-61
"ABprapap",-68
"ABprapapa",-13
"ABprapapaa",-13
"ABprapapaaa",-13
"ABprapapaap",-13
"ABprapapap",-13
"ABprapapp",-68
"ABprapappa",-68
"ABprapappp",-68
"ABprapapppa",-68
"ABprapapppp",-68
"ABprapappppa",-68
"ABprapappppaa",-68
"ABprapappppap",-68
"ABprapappppp",-68
"ABprapp",-79
"ABprappa",-79
"ABprappaa",-55
"ABprappaaa",-55
"ABprappaap",-50
"ABprappap",-78
"ABprappapa",-46
"ABprappapp",-73
"ABprappp",-69
"ABprapppa",-69
"ABprapppaa",-69
"ABprapppaaa",-69
"ABprapppaap",-69
"ABprapppap",-69
"ABprapppapa",-69
"ABprapppapp",-69
"ABprapppappa",-69
"ABprapppappp",-69
"ABprapppp",-69
"ABprappppa",-69
"ABprappppp",88
"ABprp",-133
"ABprpa",-133
"ABprpaa",-118
"ABprpaaa",206
"ABprpaaaa",905
"ABprpaaaaa",927
"ABprpaaaaaa",927
"ABprpaaaaap",927
"ABprpaaaap",1015
"ABprpaaaapa",1015
"ABprpaaaapp",1015
"ABprpaaap",743
"ABprpaaapa",743
"ABprpaaapaa",743
"ABprpaaapap",743
"ABprpaaapp",768
"ABprpaaappa",768
"ABprpaaappaa",768
"ABprpaaappap",768
"ABprpaaappp",768
"ABprpaap",159
"ABprpaapa",720
"ABprpaapaa",720
"ABprpaapaaa",720
"ABprpaapaap",720
"ABprpaapap",720
"ABprpaapapa",720
"ABprpaapapp",720
"ABprpaapp",731
"ABprpaappa",731
"ABprpaappaa",731
"ABprpaappap",731
"ABprpaappp",731
"ABprpaapppa",731
"ABprpaapppp",731
"ABprpaappppa",731
"ABprpaappppp",731
"ABprpap",-133
"ABprpapa",370
"ABprpapaa",1308
"ABprpapaaa",1308
"ABprpapaaaa",1308
"ABprpapaaap",1308
"ABprpapaap",1308
"ABprpapaapa",1308
"ABprpapaapp",1308
"ABprpapap",1332
"ABprpapapa",3405
"ABprpapapaa",3405
"ABprpapapap",3405
"ABprpapapp",3799
"ABprpapappa",3886
"ABprpapappp",3814
"ABprpapp",330
"ABprpappa",2395
"ABprpappaa",3707
"ABprpappaaa",3707
"ABprpappaap",3707
"ABprpappap",3619
"ABprpappapa",3619
"ABprpappapp",3619
"ABprpappp",2445
"ABprpapppa",6302
"ABprpapppaa",6302
"ABprpapppap",6302
"ABprpapppp",6013
"ABprpappppa",6013
"ABprpappppp",6013
"ABprpp",-133
"ABprppa",-68
"ABprppaa",523
"ABprppaaa",1220
"ABprppaaaa",1220
"ABprppaaaaa",1220
"ABprppaaaap",1220
"ABprppaaaapa",1220
"ABprppaaaapp",1220
"ABprppaaap",1220
"ABprppaap",1394
"ABprppaapa",3132
"ABprppaapaa",3142
"ABprppaapap",3132
"ABprppaapp",3995
"ABprppaappa",4313
"ABprppaappp",4956
"ABprppap",507
"ABprppapa",1511
"ABprppapaa",1585
"ABprppapaaa",1585
"ABprppapaaaa",1585
"ABprppapaaap",1585
"ABprppapaap",1585
"ABprppapap",1511
"ABprppapapa",1511
"ABprppapapp",1511
"ABprppapp",1451
"ABprppappa",1451
"ABprppappaa",1451
"ABprppappap",1451
"ABprppappp",1451
"ABprppapppa",1451
"ABprppapppp",1451
"ABprppp",-77
"ABprpppa",816
"ABprpppaa",3470
"ABprpppaaa",4044
"ABprpppaaaa",4044
"ABprpppaaap",4044
"ABprpppaap",3960
"ABprpppaapa",3960
"ABprpppaapaa",3960
"ABprpppaapap",3960
"ABprpppaapp",3960
"ABprpppap",3770
"ABprpppapa",4470
"ABprpppapaa",4470
"ABprpppapap",4470
"ABprpppapp",3770
"ABprpppp",960
"ABprppppa",3461
"ABprppppaa",5722
"ABprppppaaa",5722
"ABprppppaap",5722
"ABprppppap",5446
"ABprppppapa",5446
"ABprppppapp",5446
"ABprppppp",3824
"ABprpppppa",3859
"ABprpppppaa",3859
"ABprpppppap",3859
"ABprpppppp",4001
"ABprppppppa",4001
"ABprppppppp",4001
"C",-96
"Ca",-69
"Caa",-36
"Caaa",-36
"Caaaa",-28
"Caaaaa",-28
"Caaaap",-10
"Caaap",-36
"Caaapa",-36
"Caaapp",-35
"Caap",-36
"Caapa",-36
"Caapaa",-36
"Caapap",-36
"Caapp",-36
"Caappd",-36
"Caappv",1
"Cap",-69
"Capa",-69
"Capaa",-69
"Capaaa",-69
"Capaaaa",-69
"Capaaap",-69
"Capaap",-69
"Capaapa",-69
"Capaapp",-69
"Capap",-69
"Capapa",-69
"Capapaa",-69
"Capapap",-69
"Capapp",-69
"Capappa",-69
"Capappp",-69
"Capp",-69
"Cappa",-69
"Cappaa",-69
"Cappaaa",-69
"Cappaap",-69
"Cappap",-69
"Cappapa",-69
"Cappapp",-69
"Cappp",-69
"Capppa",-69
"Capppaa",-69
"Capppap",-69
"Capppp",-69
"Cappppd",-69
"Cappppv",-69
"Cp",-84
"Cpa",-67
"Cpaa",-67
"Cpaaa",-20
"Cpaaaa",-9
"Cpaaap",-20
"Cpaap",-67
"Cpaapa",-32
"Cpaapp",-57
"Cpap",-67
"Cpapa",-67
"Cpapaa",-67
"Cpapap",-66
"Cpapp",-67
"Cpappd",-67
"Cpappv",-67
"Cpp",-84
"Cppa",-84
"Cppaa",-84
"Cppaaa",-84
"Cppaaaa",-84
"Cppaaap",-84
"Cppaap",-84
"Cppaapa",-84
"Cppaapp",-84
"Cppap",-84
"Cppapa",-84
"Cppapaa",-84
"Cppapap",-84
"Cppapp",-84
"Cppappa",-84
"Cppappp",-84
"Cppp",-84
"Cpppa",-84
"Cpppaa",-84
"Cpppaaa",-84
"Cpppaap",-84
"Cpppap",-84
"Cpppapa",-84
"Cpppapp",-84
"Cpppp",-84
"Cppppa",-84
"Cppppaa",-84
"Cppppap",-84
"Cppppp",-84
"Cpppppd",-84
"Cpppppv",-84
"D",-198
"Da",-198
"Daa",-198
"Daaa",-137
"Daaaa",-137
"Daaap",-137
"Daap",-184
"Daapa",-184
"Daapp",-184
"Dap",-198
"Dapa",-126
"Dapaa",-126
"Dapap",-126
"Dapp",-93
"Dappa",-93
"Dappaa",-93
"Dappap",-93
"Dappp",-93
"Dapppa",-93
"Dapppp",-93
"Dp",-198
"Dpa",-198
"Dpaa",-158
"Dpaaa",-158
"Dpaap",-158
"Dpap",-198
"Dpapa",-198
"Dpapp",-198
"Dpp",-198
"Dppa",-143
"Dppaa",-143
"Dppap",-143
"Dppp",-124
"Dpppa",-124
"Dpppaa",-124
"Dpppap",-124
"Dpppp",-124
"Dppppa",-124
"Dppppp",-124
"E",-271
"EMS",NA
"Ea",-271
"Eal",-225
"Eala",-140
"Ealaa",-140
"Ealaad",-140
"Ealaav",-140
"Ealap",-133
"Ealapa",-133
"Ealapp",-133
"Ealp",-126
"Ealpa",-126
"Ealpp",-126
"Ealppa",-126
"Ealppp",-126
"Ear",-215
"Eara",-127
"Earaa",-127
"Earaad",-127
"Earaav",-127
"Earap",-127
"Earapa",-127
"Earapp",-127
"Earp",-130
"Earpa",-130
"Earpp",-129
"Earppa",-129
"Earppp",-129
"Ep",-241
"Epl",-176
"Epla",-130
"Eplaa",-105
"Eplaaa",-105
"Eplaap",-105
"Eplap",-120
"Eplapa",-120
"Eplapp",-120
"Eplp",-146
"Eplpa",-146
"Eplpaa",-146
"Eplpap",-146
"Eplpp",-146
"Eplppa",-146
"Eplppaa",-146
"Eplppap",-146
"Eplppp",-146
"Eplpppa",-146
"Eplpppp",-146
"Epr",-142
"Epra",-83
"Epraa",-83
"Epraaa",-83
"Epraap",-83
"Eprap",-83
"Eprapa",-83
"Eprapp",-83
"Eprp",-113
"Eprpa",-113
"Eprpaa",-113
"Eprpap",-113
"Eprpp",-113
"Eprppa",-113
"Eprppaa",-113
"Eprppap",-113
"Eprppp",-113
"Eprpppa",-113
"Eprpppp",-113
"MS",-260
"MSa",-260
"MSaa",-260
"MSaaa",-54
"MSaaaa",213
"MSaaaaa",213
"MSaaaaaa",213
"MSaaaaaal",213
"MSaaaaaar",213
"MSaaaaap",213
"MSaaaaapa",213
"MSaaaaapaa",213
"MSaaaaapap",213
"MSaaaaapp",213
"MSaaaap",213
"MSaaaapa",213
"MSaaaapaa",213
"MSaaaapap",213
"MSaaaapp",213
"MSaaaappa",213
"MSaaaappp",213
"MSaaap",224
"MSaaapa",619
"MSaaapaa",1415
"MSaaapaaa",1415
"MSaaapaap",1415
"MSaaapap",1050
"MSaaapapa",1050
"MSaaapapp",1050
"MSaaapp",1050
"MSaaappa",2185
"MSaaappp",2361
"MSaap",-37
"MSaapa",948
"MSaapaa",1855
"MSaapaaa",1855
"MSaapaaaa",1855
"MSaapaaap",1855
"MSaapaap",1855
