Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalppaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalppaaap,310.081818181818,4,0,0,0,4,0.000149350573190876,75.8636363636364,94.42
ABalppaaapa,NA,0,0,0,0,0,NA,NA,NA
ABalppaaapp,NA,0,0,0,0,0,NA,NA,NA
ABalppaap,230.345454545455,0,1,0,0,1,0.134423238043697,50.6772727272727,48.68
ABalppaapa,NA,0,0,0,0,0,NA,NA,NA
ABalppaapp,307.213636363636,2,0,0,0,2,0.363543427917225,75.2272727272727,79.66
ABalppaappa,NA,0,0,0,0,0,NA,NA,NA
ABalppaappp,NA,0,0,0,0,0,NA,NA,NA
ABalppap,171.172727272727,0,0,0,0,0,0.00252502765772546,35.4363636363636,32.82
ABalppapa,219.345454545455,0,1,0,0,1,0.00151542226971698,46.5272727272727,42.86
ABalppapaa,303.659090909091,0,0,0,0,0,0.813019498148288,82.6863636363636,82.26
ABalppapaaa,NA,0,0,0,0,0,NA,NA,NA
ABalppapaap,NA,0,0,0,0,0,NA,NA,NA
ABalppapap,297.786363636364,2,0,0,0,2,0.035670802304861,76.8,83.96
ABalppapapa,NA,0,0,0,0,0,NA,NA,NA
ABalppapapp,NA,0,0,0,0,0,NA,NA,NA
ABalppapp,216.690909090909,0,0,0,0,0,0.00343733017918339,43.8909090909091,41.06
ABalppappa,295.186363636364,0,0,0,0,0,0.00990043858448098,76.8590909090909,83.3
ABalppappaa,NA,0,0,0,0,0,NA,NA,NA
ABalppappap,NA,0,0,0,0,0,NA,NA,NA
ABalppappp,285.35,0,0,0,0,0,0.177465372823609,67.0090909090909,68.92
ABalppapppa,409.933333333333,0,0,0,0,0,NA,124.366666666667,NA
ABalppapppaa,NA,0,0,0,0,0,NA,NA,NA
ABalppapppap,NA,0,0,0,0,0,NA,NA,NA
ABalppapppp,NA,0,0,0,0,0,NA,NA,NA
ABalppp,132.763636363636,0,0,0,0,0,0.00642293450152153,28.9318181818182,25.86
ABalpppa,172.086363636364,0,0,0,0,0,0.0140826831248007,37.6545454545455,34.12
ABalpppaa,225.804545454545,0,1,0,0,1,0.0104884968442215,52.0727272727273,47.88
ABalpppaaa,312.359090909091,2,0,0,0,2,0.0359773327698336,84.9454545454546,101.2
ABalpppaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpppaaap,NA,0,0,0,0,0,NA,NA,NA
ABalpppaap,316.868181818182,2,0,0,0,2,0.00939958802118609,89.4454545454545,100.3
ABalpppaapd,NA,0,0,0,0,0,NA,NA,NA
ABalpppaapv,NA,0,0,0,0,0,NA,NA,NA
ABalpppap,218.618181818182,0,0,0,0,0,0.0897580634368054,44.8863636363636,42.8
ABalpppapa,297.1,0,0,0,0,0,0.0878444030718873,76.8409090909091,79.64
ABalpppapad,NA,0,0,0,0,0,NA,NA,NA
ABalpppapav,NA,0,0,0,0,0,NA,NA,NA
ABalpppapp,285.6,2,0,0,0,2,0.161038862170712,65.1380952380952,69.8
ABalpppappa,NA,0,0,0,0,0,NA,NA,NA
ABalpppappp,372.6,0,0,0,0,0,0.816911862497164,85.05,87.75
ABalpppapppa,NA,0,0,0,0,0,NA,NA,NA
ABalpppapppp,NA,0,0,0,0,0,NA,NA,NA
ABalpppp,167.968181818182,0,0,0,0,0,0.0501494657733622,33.5454545454545,31.64
ABalppppa,217.1,0,0,0,0,0,4.75664346666849e-06,47.5045454545455,43.4
ABalppppaa,296.240909090909,3,0,0,0,3,0.0607865107432874,77.5090909090909,87.42
ABalppppaad,NA,0,0,0,0,0,NA,NA,NA
ABalppppaav,NA,0,0,0,0,0,NA,NA,NA
ABalppppap,288.909090909091,1,0,0,0,1,1.90645522600715e-05,70.1681818181818,78.22
ABalppppapa,395.133333333333,0,0,0,0,0,NA,108,NA
ABalppppapaa,NA,0,0,0,0,0,NA,NA,NA
ABalppppapap,NA,0,0,0,0,0,NA,NA,NA
ABalppppapp,NA,0,0,0,0,0,NA,NA,NA
ABalppppp,210.231818181818,0,0,0,0,0,0.0266597577141618,40.6409090909091,37.84
ABalpppppa,285.018181818182,0,0,0,0,0,0.937450874728911,73.1363636363636,73
ABalpppppaa,NA,0,0,0,0,0,NA,NA,NA
ABalpppppap,NA,0,0,0,0,0,NA,NA,NA
ABalpppppp,262.777272727273,0,0,0,0,0,0.090432873072725,50.9090909090909,52.16
ABalppppppa,347.233333333333,1,0,0,0,1,0.747953298405949,83.1,84.22
ABalppppppaa,NA,0,0,0,0,0,NA,NA,NA
ABalppppppap,NA,0,0,0,0,0,NA,NA,NA
ABalppppppp,337.209090909091,2,0,0,0,2,0.0403212940389006,73.6727272727273,80.76
ABalpppppppa,NA,0,0,0,0,0,NA,NA,NA
ABalpppppppp,NA,0,0,0,0,0,NA,NA,NA
ABar,55.1727272727273,0,0,0,0,0,0.0507940548955449,12.2952380952381,8.66
ABara,73.95,0,0,0,0,0,6.60574318549378e-08,17.0909090909091,13.94
ABaraa,101.086363636364,0,1,0,0,1,0.00663629098129838,25.3909090909091,21.7
ABaraaa,133.931818181818,0,2,0,0,2,0.00204281480324872,31.1454545454545,27.38
ABaraaaa,178.377272727273,0,0,0,0,0,5.64718176533772e-05,42.7909090909091,37.92
ABaraaaaa,231.45,0,0,0,0,0,0.0117397880877442,51.4409090909091,49.28
ABaraaaaaa,313.504545454545,0,0,0,0,0,0.251395911300717,80.4136363636364,83.9
ABaraaaaaaa,NA,0,0,0,0,0,NA,NA,NA
ABaraaaaaap,NA,0,0,0,0,0,NA,NA,NA
ABaraaaaap,313.072727272727,0,0,0,0,0,0.553711845360645,79.9772727272727,81.34
ABaraaaaapa,NA,0,0,0,0,0,NA,NA,NA
ABaraaaaapp,NA,0,0,0,0,0,NA,NA,NA
ABaraaaap,237.359090909091,0,0,0,0,0,0.594447749957567,57.3409090909091,56.5
ABaraaaapa,329.044444444444,2,0,0,0,2,0.223396325918825,90.6722222222222,97.04
ABaraaaapaa,NA,0,0,0,0,0,NA,NA,NA
ABaraaaapap,NA,0,0,0,0,0,NA,NA,NA
ABaraaaapp,NA,0,0,0,0,0,NA,NA,NA
ABaraaap,170.472727272727,0,1,0,0,1,0.13462095644369,34.8636363636364,31.98
ABaraaapa,213.413636363636,0,0,0,0,0,0.149771480674143,41.3136363636364,39.26
ABaraaapaa,289.895454545455,0,0,0,0,0,0.21587698267804,74.8772727272727,79.96
ABaraaapaaa,NA,0,0,0,0,0,NA,NA,NA
ABaraaapaap,NA,0,0,0,0,0,NA,NA,NA
ABaraaapap,272.6,0,0,0,0,0,0.979078616004047,57.5818181818182,57.64
ABaraaapapa,NA,0,0,0,0,0,NA,NA,NA
ABaraaapapp,NA,0,0,0,0,0,NA,NA,NA
ABaraaapp,224.281818181818,0,2,0,0,2,0.0843873405696261,52.1863636363636,48.08
ABaraaappa,313.331818181818,0,0,0,0,0,0.505017356837554,87.4090909090909,89.84
ABaraaappaa,NA,0,0,0,0,0,NA,NA,NA
ABaraaappap,NA,0,0,0,0,0,NA,NA,NA
ABaraaappp,301.45,3,0,0,0,3,0.048964583642658,75.5227272727273,88.72
ABaraaapppa,NA,0,0,0,0,0,NA,NA,NA
ABaraaapppp,NA,0,0,0,0,0,NA,NA,NA
ABaraap,132.868181818182,0,1,0,0,1,0.000549380916126703,30.0772727272727,26.12
ABaraapa,172.109090909091,0,2,0,0,2,0.00117386443577623,37.5772727272727,32.22
ABaraapaa,221.163636363636,0,2,0,0,2,0.00683810033131706,47.4409090909091,43.14
ABaraapaaa,301.940909090909,0,0,0,0,0,0.229287383105692,79.15,75.08
ABaraapaaaa,NA,0,0,0,0,0,NA,NA,NA
ABaraapaaap,NA,0,0,0,0,0,NA,NA,NA
ABaraapaap,287.318181818182,0,0,0,0,0,0.0400329526479535,64.5,61.32
ABaraapaapa,NA,0,0,0,0,0,NA,NA,NA
ABaraapaapp,NA,0,0,0,0,0,NA,NA,NA
ABaraapap,218.290909090909,0,1,0,0,1,0.0256928488531194,44.5545454545455,41.48
ABaraapapa,273.372727272727,1,0,0,0,1,0.0197162652453769,53.4409090909091,57.66
ABaraapapaa,416.066666666667,0,0,0,0,0,NA,141.933333333333,NA
ABaraapapaad,NA,0,0,0,0,0,NA,NA,NA
ABaraapapaav,NA,0,0,0,0,0,NA,NA,NA
ABaraapapap,NA,0,0,0,0,0,NA,NA,NA
ABaraapapp,311.536363636364,0,0,0,0,0,0.01983299690089,91.6045454545455,98.36
ABaraapappa,NA,0,0,0,0,0,NA,NA,NA
ABaraapappp,NA,0,0,0,0,0,NA,NA,NA
ABaraapp,169.927272727273,0,2,0,0,2,0.00251385271255156,35.4,31.04
ABaraappa,217.690909090909,0,0,0,0,0,0.087100406233536,46.1363636363636,48.1
ABaraappaa,301.431818181818,0,0,0,0,0,0.955998264610178,82.1090909090909,82.02
ABaraappaaa,NA,0,0,0,0,0,NA,NA,NA
ABaraappaap,NA,0,0,0,0,0,NA,NA,NA
ABaraappap,282.440909090909,0,0,0,0,0,0.470411960664452,63.1136363636364,62.04
ABaraappapa,NA,0,0,0,0,0,NA,NA,NA
ABaraappapp,NA,0,0,0,0,0,NA,NA,NA
ABaraappp,217.35,0,0,0,0,0,0.407714334796003,45.8045454545455,44.76
ABaraapppa,272.590909090909,3,0,0,0,3,0.128430415996051,53.6181818181818,60.1
ABaraapppaa,NA,0,0,0,0,0,NA,NA,NA
ABaraapppaad,NA,0,0,0,0,0,NA,NA,NA
ABaraapppaav,NA,0,0,0,0,0,NA,NA,NA
ABaraapppap,NA,0,0,0,0,0,NA,NA,NA
ABaraapppp,310.15,0,0,0,0,0,0.399453202367206,91.1818181818182,95.52
ABaraappppa,NA,0,0,0,0,0,NA,NA,NA
ABaraappppp,NA,0,0,0,0,0,NA,NA,NA
ABarap,101.068181818182,0,1,0,0,1,0.00445884177252466,25.3772727272727,21.66
ABarapa,133.113636363636,0,1,0,0,1,0.00555039080918568,30.3409090909091,26.76
ABarapaa,172.677272727273,0,3,0,0,3,0.000935959180956876,37.9181818181818,33.46
ABarapaaa,227.222727272727,0,1,0,0,1,0.000937047750220776,52.8954545454545,47.56
ABarapaaaa,304.709090909091,0,0,0,0,0,0.00720372964769299,75.8409090909091,72.32
ABarapaaaaa,NA,0,0,0,0,0,NA,NA,NA
ABarapaaaap,NA,0,0,0,0,0,NA,NA,NA
ABarapaaap,315.309523809524,0,0,0,0,0,0.0814888745952968,86.4,80.6
ABarapaaapa,NA,0,0,0,0,0,NA,NA,NA
ABarapaaapp,NA,0,0,0,0,0,NA,NA,NA
ABarapaap,218.386363636364,0,1,0,0,1,0.000483408384887193,44.05,40.32
ABarapaapa,313.809090909091,0,0,0,0,0,0.348060548564495,93.7863636363636,92.12
ABarapaapaa,NA,0,0,0,0,0,NA,NA,NA
ABarapaapap,NA,0,0,0,0,0,NA,NA,NA
ABarapaapp,276.55,0,0,0,0,0,0.173359062260655,56.5181818181818,54.3
ABarapaappa,NA,0,0,0,0,0,NA,NA,NA
ABarapaappp,NA,0,0,0,0,0,NA,NA,NA
ABarapap,168.581818181818,0,0,0,0,0,0.0194733106036669,33.8181818181818,31.04
ABarapapa,215.922727272727,0,0,0,0,0,0.0191877766640605,45.7,41.82
ABarapapaa,293.413636363636,0,0,0,0,0,0.461940361413709,75.8681818181818,77.92
ABarapapaaa,NA,0,0,0,0,0,NA,NA,NA
ABarapapaap,390,0,0,0,0,0,0.955521188256277,98.875,98
ABarapapaapa,NA,0,0,0,0,0,NA,NA,NA
