"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"ABalpapa",NA,133,6722,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaa",NA,172,7715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaaa",NA,223,7715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaaaa","RIPL",291,7715,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA
"ABalpapaaap","hyp2",291,7715,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA
"ABalpapaap",NA,223,7715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaapa","arc_ant",310,7715,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpapaapp","death",310,7715,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpapap",NA,172,6722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapapa",NA,222,6722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapapaa","RMDDL",290,6722,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpapapap",NA,290,6722,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpapapapa","death",400,6722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalpapapapp","SMBDL",400,6722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalpapapp",NA,222,6722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapappa","death",302,6722,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpapappp","SMBVL",302,6722,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpapp",NA,133,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappa",NA,168,4619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappaa",NA,213,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappaaa","death",292,4619,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpappaap",NA,292,4619,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
"ABalpappaapa","I2L",400,4619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalpappaapp","death",400,4619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalpappap",NA,213,4619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ABalpappapa","e2V",273,4619,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpappapp","mc3V",273,4619,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpappp",NA,168,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapppa",NA,213,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapppaa","I1L",324,4619,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpapppap","death",324,4619,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
"ABalpapppp",NA,213,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappppa","mc1V",265,4619,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpappppp","m3VL",265,4619,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalpp",NA,75,2957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppa",NA,103,2957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaa",NA,135,9001,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ABalppaaa",NA,179,14332,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaaaa","death",234,14332,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppaaap",NA,234,19191,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"ABalppaaapa","AVAL",311,19191,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalppaaapp","OLQsoVL",311,19191,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppaap",NA,179,13995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaapa","death",231,13995,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppaapp",NA,231,17168,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaappa","death",308,17168,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalppaappp","CEPsoVL",308,17168,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
"ABalppap",NA,135,6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppapa",NA,172,6167,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0
"ABalppapaa",NA,220,8916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABalppapaaa","RMDVL",305,8916,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppapaap","ILshVL",305,8916,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppapap",NA,220,6189,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"ABalppapapa","SAADL",299,6189,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppapapp","ILsoVL",299,6189,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalppapp",NA,172,6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppappa",NA,218,6693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
