paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABaraaaaa 0.0117	51	50	52	52	49	51	52	50	51	52	52	50	54	52	52	52	51	56	50	49	53	51	48	48	50	50	50
ABaraaaaaa 0.2514	73	86	88	90	80	85	79	75	75	85	78	75	84	81	71	82	86	85	79	80	78	74	90	77	86	88	79
ABaraaaaaaa NA																											
ABaraaaaaap NA																											
ABaraaaaap 0.5537	77	81	86	88	82	82	80	78	82	77	78	74	89	95	80	73	79	60	86	78	76	78	81	76	83	82	86
ABaraaaaapa NA																											
ABaraaaaapp NA																											
ABaraaaap 0.5944	56	58	64	60	56	52	56	59	55	55	58	56	59	61	54	59	58	56	56	58	58	56	56	52	57	60	59
ABaraaaapa 0.2234	91	92		101	86	86	92	86	91		89	87			89	94	88	96	86	88	101	89	95	83	105	94	108
ABaraaaapaa NA																											
ABaraaaapap NA																											
ABaraaaapp NA																											
ABaraaap 0.1346	35	34	35	34	35	37	34	36	35	36	38	32	34	32	33	36	38	37	32	33	35	35	29	38	33	30	30
ABaraaapa 0.1498	40	41	40	40	40	43	43	40	43	41	41	41	40	40	41	41	42	44	41	43	42	41	37	39	44	38	39
ABaraaapaa 0.2159	68	71	74	77	75	82	77	76	81	77	74	74	72	70	69	73	79	100	70	69	71	68	83	71	91	79	76
ABaraaapaaa NA																											
ABaraaapaap NA																											
ABaraaapap 0.9791	55	57	61	60	54	63	59	58	65	59	53	55	53	55	54	56	58	66	59	55	58	54	57	55	65	58	53
ABaraaapapa NA																											
ABaraaapapp NA																											
ABaraaapp 0.0844	51	52	52	52	47	54	54	51	52	54	52	51	51	52	49	57	54	52	51	53	53	54	48	45	51	44	54
ABaraaappa 0.505	80	80	99	92	95	88	90	86	89	87	83	88	91	90	88	88	96	80	82	84	81	86	82	96	84	98	89
ABaraaappaa NA																											
ABaraaappap NA																											
ABaraaappp 0.049	73	73	78	83	73	72	79	81	75	80	74	74	77	83	69	75	79	76	74	72	70	71	84	73	91	94	101
ABaraaapppa NA																											
ABaraaapppp NA																											
ABaraap 5e-04	33	30	30	29	28	30	30	31	30	29	31	30	29	30	30	30	32	31	28	29	31	31	27	26	25	26	27
ABaraapa 0.0012	37	37	35	40	35	37	38	38	40	40	41	37	37	36	36	38	40	41	37	36	38	35	30	34	33	30	34
ABaraapaa 0.0068	46	47	48	49	47	49	48	48	48	47	46	47	47	45	46	49	46	49	46	47	50	48	41	46	43	42	42
ABaraapaaa 0.2293	72	74	89	86	80	74	76	80	79	82	76	84	86	77	76	75	80	81	77	82	76	79	79	73	72	84	67
ABaraapaaaa NA																											
ABaraapaaap NA																											
ABaraapaap 0.04	63	60	72	69	66	63	64	66	62	67	60	67	67	64	61	64	63	66	62	65	63	65	64	62	59	63	59
ABaraapaapa NA																											
ABaraapaapp NA																											
