"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABplpapappp","DB5",2,0,2,8835,4461,1587,8,0,0
"ABplpappaaa","RMEV",2,0,0,10226,5010,1356,8,0,0
"ABplpappaap","exc_cell",2,0,0,10226,5010,1356,8,0,0
"ABplpappap","death",2,0,0,10226,2909,1356,8,0,0
"ABplpapppaa","K",3,3,0,10226,6638,1356,8,0,0
"ABplpapppap","K'",3,2,0,10226,6638,1356,8,0,0
"ABplpappppa","PVT",4,1,0,10226,7163,1356,8,0,0
"ABplpappppp","rect_D",4,1,0,10226,7163,1356,8,0,0
"ABplppaaaaa","SIBDL",4,2,0,8919,1982,2253,8,100,1979
"ABplppaaaap",NA,4,1,0,8919,1982,2253,8,100,1979
"ABplppaaap","death",4,0,0,8919,1982,2253,11,68,1979
"ABplppaapaa","death",5,1,0,8919,3952,2253,8,44,1979
"ABplppaapap","RIML",5,2,0,8919,3952,2253,17,44,1979
"ABplppaappa","AIAL",5,0,0,8919,5645,2253,213,0,1979
"ABplppaappp","DB6",5,1,0,8919,5652,2253,298,0,1979
"ABplppapaaa",NA,8,1,0,9169,1820,1656,8,18,1979
"ABplppapaap","SABD",8,2,0,9169,1820,1656,8,18,1979
"ABplppapapa","DA2",4,0,0,9169,1820,1656,8,0,1979
"ABplppapapp","DA4",4,3,0,9169,1820,1656,8,0,1979
"ABplppappaa","RIGL",9,0,0,9169,1894,1656,8,22,6694
"ABplppappap","DD1",9,1,0,9169,1894,1656,8,22,6694
"ABplppapppa","DD3",7,0,0,9169,1894,1656,62,22,8184
"ABplppapppp","DD5",7,1,0,9169,1894,1656,8,22,8184
"ABplpppaaaa","DA9",4,1,1,11292,4050,2982,8,1701,1872
"ABplpppaaap","DA6",4,2,1,11292,4050,2982,8,1701,1872
"ABplpppaapa",NA,5,3,1,11292,3775,2982,8,1701,1872
"ABplpppaapp","PHAL",5,3,1,11292,3775,2982,24,1701,1872
"ABplpppapaa","PHshL",5,3,0,11292,4261,2982,8,1289,1872
"ABplpppapap","hyp8/9",5,3,0,11292,4261,2982,8,1289,1872
"ABplpppapp","death",3,0,0,11292,3278,2982,8,1289,1872
"ABplppppaaa","PVPL",4,2,0,9998,3732,2084,8,980,1872
"ABplppppaap","rect_VL",4,0,0,9998,3732,2084,8,980,1872
"ABplppppapa","U",4,1,0,9998,4093,2084,8,1058,1872
"ABplppppapp","F",4,1,0,9998,4093,2084,8,1058,1872
"ABplpppppaa","mu_int_L",6,2,0,9998,2896,2084,8,490,1872
"ABplpppppap","mu_anal",6,3,0,9998,2896,2084,8,490,1872
"ABplppppppa","spike",4,2,0,9998,2896,2084,8,554,1872
"ABplppppppp","hyp10",4,1,0,9998,2896,2084,8,554,1872
"ABpraaaaaaa","AVER",2,0,0,9169,5,110,30,0,0
"ABpraaaaaap","OLQshVR",2,0,0,9169,5,110,8,0,0
