"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABalpapapaa","ABalpapapaa",2.13094298806196,2.04083842378291,1.48618778586867,1.83984891022382,1.69516172549341
"ABalpapapap","ABalpapapap",3.02426711450271,2.33387682439677,1.24781925182564,2.00165795178127,2.23890359236437
"ABalpapapp","ABalpapapp",3.03654231288613,3.40334998852686,1.75180539188551,1.63323374994112,3.56262131275475
"ABalpapappa","ABalpapappa",3.8186445196817,3.78704071806724,2.55026972683653,1.91945578303596,3.13882113189199
"ABalpapappp","ABalpapappp",1.90564480143195,2.99534192889052,1.91756845587024,2.09755043994668,2.51205077400986
"ABalpapp","ABalpapp",4.02063184721307,5.41941359846181,3.75750235336348,1.09638775822402,3.33711985554875
"ABalpappa","ABalpappa",5.70158244758927,3.16272729447231,2.74943316083828,2.44078655192555,6.5523427603204
"ABalpappaa","ABalpappaa",3.2152327212804,1.97298372509695,1.85328946867377,1.40889215761689,6.10483022847239
"ABalpappaaa","ABalpappaaa",3.10859720794519,3.13751502806205,2.2068370700388,2.53910391574991,4.21947559997089
"ABalpappaap","ABalpappaap",4.71657832683297,2.09150163612755,1.93429920322173,2.64477588183596,2.24968128188484
"ABalpappap","ABalpappap",4.45499633018971,2.07533019334684,1.54677338571036,1.01909020632308,5.30441731045091
"ABalpappapa","ABalpappapa",2.51651906292301,2.04341245445486,1.78921888529059,1.71811831428346,2.14246006294753
"ABalpappapp","ABalpappapp",2.57173202778563,1.75700254766343,1.87118476389325,1.90552879201144,3.07474487238572
"ABalpappp","ABalpappp",4.76942068796728,5.80595908534708,2.54606560416972,2.97014706290658,4.37260126354961
"ABalpapppa","ABalpapppa",2.29188227712284,2.31022682110146,1.43770902943493,1.48026823427376,2.45340785338834
"ABalpapppaa","ABalpapppaa",1.49157805573914,1.18523006982626,1.9100649019485,1.71333415119612,2.00444643113322
"ABalpapppap","ABalpapppap",1.95532850527608,3.60715888306865,1.06632932919364,1.95468716201808,1.66306817318273
"ABalpapppp","ABalpapppp",2.66758270982822,2.7651466386865,2.14600501132841,2.10463121181978,3.03418802558442
"ABalpappppa","ABalpappppa",1.93898640717954,1.450485078564,1.98667222383868,1.59037081370481,2.29642501881276
"ABalpappppp","ABalpappppp",1.82360795217743,1.13222625716969,1.81694508567311,2.46453444444894,1.7617676951141
