Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABplaapaaaa	NA	NA	NA	NA	NA
ABplaapaaap	NA	NA	NA	NA	NA
ABplaapaap	289	295.6	292.9	293.4	289.9
ABplaapaapa	NA	NA	NA	NA	NA
ABplaapaapp	NA	NA	NA	NA	NA
ABplaapap	229	220.9	219.1	220.4	212.5
ABplaapapa	309	304.7	309.5	304.4	302.9
ABplaapapaa	NA	NA	NA	NA	NA
ABplaapapap	NA	NA	NA	NA	NA
ABplaapapp	284	286.5	292.9	282.5	275.5
ABplaapappa	NA	NA	NA	NA	NA
ABplaapappp	394	NA	NA	NA	NA
ABplaapapppa	NA	NA	NA	NA	NA
ABplaapapppp	NA	NA	NA	NA	NA
ABplaapp	171	166.1	163.8	169.7	165.6
ABplaappa	229	226.1	213.8	220.4	220.2
ABplaappaa	NA	NA	NA	NA	NA
ABplaappap	NA	NA	NA	NA	NA
ABplaappp	214	217.4	212	220.4	214
ABplaapppa	NA	NA	NA	NA	NA
ABplaapppp	NA	NA	NA	NA	NA
ABplap	103	98.4	96.3	99	102.2
ABplapa	132	129.5	126.7	130.2	130.2
ABplapaa	171	169.4	167.2	169.7	170
ABplapaaa	219	220.9	217.3	217.7	220.2
ABplapaaaa	309	302.9	302.1	296.2	304.6
ABplapaaaaa	NA	NA	NA	NA	NA
ABplapaaaap	419	NA	NA	NA	NA
ABplapaaaapa	NA	NA	NA	NA	NA
ABplapaaaapp	NA	NA	NA	NA	NA
ABplapaaap	304	310.2	300.3	298.9	309.5
ABplapaaapa	419	NA	NA	NA	NA
ABplapaaapad	NA	NA	NA	NA	NA
ABplapaaapav	NA	NA	NA	NA	NA
ABplapaaapp	NA	NA	NA	NA	NA
ABplapaap	219	224.3	226.2	223	226.3
ABplapaapa	NA	NA	NA	NA	NA
ABplapaapp	NA	NA	NA	NA	NA
ABplapap	171	166.1	165.5	167.1	165.6
ABplapapa	214	217.4	219.1	223	215.6
ABplapapaa	549	NA	NA	NA	NA
ABplapapaaa	NA	NA	NA	NA	NA
ABplapapaap	NA	NA	NA	NA	NA
ABplapapap	NA	NA	NA	NA	NA
ABplapapp	214	215.6	213.8	215	214
ABplapappa	NA	NA	NA	NA	NA
ABplapappp	299	306.6	313.2	301.7	298
