Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalppapaaa,NA,0,0,0,0,0,NA,NA,NA
ABalppapaap,NA,0,0,0,0,0,NA,NA,NA
ABalppapap,297.786363636364,0,0,0,0,0,0.9504775322858,76.8,77
ABalppapapa,NA,0,0,0,0,0,NA,NA,NA
ABalppapapp,NA,0,0,0,0,0,NA,NA,NA
ABalppapp,216.690909090909,0,0,0,0,0,0.610954226743706,43.8909090909091,43.55
ABalppappa,295.186363636364,0,0,0,0,0,0.00210179837911929,76.8590909090909,82.75
ABalppappaa,NA,0,0,0,0,0,NA,NA,NA
ABalppappap,NA,0,0,0,0,0,NA,NA,NA
ABalppappp,285.35,0,0,0,0,0,0.598588597979774,67.0090909090909,67.9
ABalppapppa,409.933333333333,0,0,0,0,0,NA,124.366666666667,NA
ABalppapppaa,NA,0,0,0,0,0,NA,NA,NA
ABalppapppap,NA,0,0,0,0,0,NA,NA,NA
ABalppapppp,NA,0,0,0,0,0,NA,NA,NA
ABalppp,132.763636363636,0,0,0,0,0,0.478461238307531,28.9318181818182,28.275
ABalpppa,172.086363636364,0,0,0,0,0,0.318487336896588,37.6545454545455,38.45
ABalpppaa,225.804545454545,0,0,0,0,0,0.0420811777335395,52.0727272727273,54.075
ABalpppaaa,312.359090909091,0,0,0,0,0,0.581572837108835,84.9454545454546,86.575
ABalpppaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpppaaap,NA,0,0,0,0,0,NA,NA,NA
ABalpppaap,316.868181818182,0,0,0,0,0,0.0796720631448785,89.4454545454545,84.175
ABalpppaapd,NA,0,0,0,0,0,NA,NA,NA
ABalpppaapv,NA,0,0,0,0,0,NA,NA,NA
ABalpppap,218.618181818182,1,0,0,0,1,0.183456008759921,44.8863636363636,47.075
ABalpppapa,297.1,1,0,0,0,1,0.0404602029716331,76.8409090909091,85.175
ABalpppapad,NA,0,0,0,0,0,NA,NA,NA
ABalpppapav,NA,0,0,0,0,0,NA,NA,NA
ABalpppapp,285.6,1,0,0,0,1,0.471903370749857,65.1380952380952,67.175
ABalpppappa,NA,0,0,0,0,0,NA,NA,NA
ABalpppappp,372.6,0,0,0,0,0,NA,85.05,NA
ABalpppapppa,NA,0,0,0,0,0,NA,NA,NA
ABalpppapppp,NA,0,0,0,0,0,NA,NA,NA
ABalpppp,167.968181818182,0,0,0,0,0,0.0443150126422,33.5454545454545,34.575
ABalppppa,217.1,0,0,0,0,0,0.221567850524744,47.5045454545455,46.5
ABalppppaa,296.240909090909,0,0,0,0,0,0.32251826825477,77.5090909090909,79.825
ABalppppaad,NA,0,0,0,0,0,NA,NA,NA
ABalppppaav,NA,0,0,0,0,0,NA,NA,NA
ABalppppap,288.909090909091,0,0,0,0,0,0.55873838273408,70.1681818181818,71.625
ABalppppapa,395.133333333333,0,0,0,0,0,NA,108,NA
ABalppppapaa,NA,0,0,0,0,0,NA,NA,NA
ABalppppapap,NA,0,0,0,0,0,NA,NA,NA
ABalppppapp,NA,0,0,0,0,0,NA,NA,NA
ABalppppp,210.231818181818,0,0,0,0,0,0.470782797096907,40.6409090909091,39.8
ABalpppppa,285.018181818182,0,0,0,0,0,0.279483534740322,73.1363636363636,74.875
ABalpppppaa,NA,0,0,0,0,0,NA,NA,NA
