Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABplaaaaappp	NA	NA	NA	NA	NA
ABplaaaap	229	186.3	164.1	167.8	165.6
ABplaaaapa	NA	NA	NA	NA	NA
ABplaaaapp	NA	NA	NA	NA	NA
ABplaaap	171	135.9	111.4	116.5	122
ABplaaapa	239	194.3	162.5	162.9	176.6
ABplaaapaa	NA	NA	NA	NA	NA
ABplaaapap	NA	NA	NA	NA	NA
ABplaaapp	224	186.3	157.7	162.9	173.5
ABplaaappa	NA	NA	NA	NA	NA
ABplaaappp	NA	NA	NA	NA	NA
ABplaap	132	99.2	72.2	73.2	75.2
ABplaapa	171	135.9	108.3	114.1	114.4
ABplaapaa	229	186.3	153	158	165.6
ABplaapaaa	309	265.1	231.9	232.2	260
ABplaapaaaa	NA	NA	NA	NA	NA
ABplaapaaap	NA	NA	NA	NA	NA
ABplaapaap	289	251.7	220.4	224.7	240
ABplaapaapa	NA	NA	NA	NA	NA
ABplaapaapp	NA	NA	NA	NA	NA
ABplaapap	229	183.1	154.6	158	160.8
ABplaapapa	309	260.1	235.2	234.7	253.3
ABplaapapaa	NA	NA	NA	NA	NA
ABplaapapap	NA	NA	NA	NA	NA
ABplaapapp	284	243.4	220.4	214.7	225.2
ABplaapappa	NA	NA	NA	NA	NA
ABplaapappp	394	NA	NA	NA	NA
ABplaapapppa	NA	NA	NA	NA	NA
ABplaapapppp	NA	NA	NA	NA	NA
ABplaapp	171	132.8	105.3	111.7	112.9
ABplaappa	229	187.9	149.9	158	168.7
ABplaappaa	NA	NA	NA	NA	NA
ABplaappap	NA	NA	NA	NA	NA
ABplaappp	214	179.9	148.3	158	162.4
ABplaapppa	NA	NA	NA	NA	NA
ABplaapppp	NA	NA	NA	NA	NA
ABplap	103	70.7	45.1	47.1	48.1
ABplapa	132	99.2	72.2	75.6	76.7
ABplapaa	171	135.9	108.3	111.7	117.4
ABplapaaa	219	183.1	153	155.5	168.7
ABplapaaaa	309	258.4	228.6	227.2	255
ABplapaaaaa	NA	NA	NA	NA	NA
ABplapaaaap	419	NA	NA	NA	NA
ABplapaaaapa	NA	NA	NA	NA	NA
ABplapaaaapp	NA	NA	NA	NA	NA
ABplapaaap	304	265.1	227	229.7	260
ABplapaaapa	419	NA	NA	NA	NA
ABplapaaapad	NA	NA	NA	NA	NA
ABplapaaapav	NA	NA	NA	NA	NA
ABplapaaapp	NA	NA	NA	NA	NA
ABplapaap	219	186.3	160.9	160.4	175
ABplapaapa	NA	NA	NA	NA	NA
ABplapaapp	NA	NA	NA	NA	NA
ABplapap	171	132.8	106.8	109.3	112.9
ABplapapa	214	179.9	154.6	160.4	164
ABplapapaa	549	NA	NA	NA	NA
ABplapapaaa	NA	NA	NA	NA	NA
ABplapapaap	NA	NA	NA	NA	NA
ABplapapap	NA	NA	NA	NA	NA
ABplapapp	214	178.3	149.9	153.1	162.4
ABplapappa	NA	NA	NA	NA	NA
ABplapappp	299	261.8	238.5	232.2	248.3
ABplapapppa	NA	NA	NA	NA	NA
