"","Cells","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"ABaraaa","ABaraaa",1.53282302437722,3.00545055029044,1.79611634703039,1.65840304111599
"ABaraaaa","ABaraaaa",5.11851121871172,2.8956430226815,3.62765512704021,2.24185383779727
"ABaraaaaa","ABaraaaaa",4.07226225692061,4.47311419627919,2.58789643230602,2.28157329230218
"ABaraaaaaa","ABaraaaaaa",4.0555405623639,2.95025554844203,5.40144503134958,4.60869433531404
"ABaraaaaaaa","ABaraaaaaaa",4.82764018631625,2.19078553514608,4.53758595811609,4.37142633632842
"ABaraaaaaap","ABaraaaaaap",6.27711424505557,2.51057548862365,4.94928513928579,8.04578611216037
"ABaraaaaap","ABaraaaaap",3.51351108132281,4.6118791055733,2.46576670076058,5.77312795547973
"ABaraaaaapa","ABaraaaaapa",3.01541033856139,2.96488524966945,2.46966169083059,4.80739577824247
"ABaraaaaapp","ABaraaaaapp",2.51246391687955,4.29548076266314,3.39338315876141,8.37734668716413
"ABaraaaap","ABaraaaap",3.14728480745558,4.72935159845469,4.07686734263425,3.04681879682045
"ABaraaaapa","ABaraaaapa",3.7084133281443,2.6489657342836,2.76172741872983,2.92414647015409
"ABaraaaapaa","ABaraaaapaa",5.56057161499846,1.72753643484365,3.5179299572158,NA
"ABaraaaapap","ABaraaaapap",4.66297527269476,3.01680053730496,2.98593250728391,NA
"ABaraaaapp","ABaraaaapp",2.89450460206564,6.98705831551865,11.7733059992322,6.63205340171412
"ABaraaap","ABaraaap",4.2632338046805,1.94346048755056,3.28157989764286,2.13838583910273
"ABaraaapa","ABaraaapa",3.83103753406669,3.96309216854193,2.73914246539004,3.4028797611093
"ABaraaapaa","ABaraaapaa",1.81366580310162,2.14851713969715,3.7071055813858,3.7155700726246
"ABaraaapaaa","ABaraaapaaa",3.25201393977407,3.01359477979169,3.34030412387247,5.39286244217883
"ABaraaapaap","ABaraaapaap",2.32343154959827,2.33117846581596,5.51159844605295,6.1637895017945
"ABaraaapap","ABaraaapap",2.41616955717659,3.40984543148527,3.27862001507753,5.84593324901417
"ABaraaapapa","ABaraaapapa",2.94376506359989,3.62650043617484,4.17188054411653,7.03955520099007
"ABaraaapapp","ABaraaapapp",2.98793941657854,2.15652165108469,3.7632642470542,5.25960753599942
"ABaraaapp","ABaraaapp",2.07956260740102,2.87322591891013,3.99705841373726,2.88430367092801
"ABaraaappa","ABaraaappa",3.59135845818389,2.05302689576295,3.75362201441106,3.71785664726123
"ABaraaappaa","ABaraaappaa",4.81779065801974,3.4993258542181,3.55015676669149,4.55711602075304
"ABaraaappap","ABaraaappap",4.26560281881816,1.94718342230989,3.39200952079213,2.93845731444304
"ABaraaappp","ABaraaappp",2.83614114051907,2.36248643847136,3.62315399991471,2.67976980570248
"ABaraaapppa","ABaraaapppa",5.71976529567048,4.81330278315125,5.38648714792036,4.59641262191611
"ABaraaapppp","ABaraaapppp",4.67325714015191,2.95257881112305,4.71007185148541,3.08020829643605
"ABaraap","ABaraap",1.90953035041116,2.78610986322687,1.37900833959622,0.967563566131643
