"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"ABalpapaaaa","RIPL",291,0,1,0,4,0,4101,0,0,0,0,0,4.24838529306509,2.24946468585408
"ABalpapaaap","hyp2",291,0,1,0,4,0,4101,0,0,0,0,0,3.54135645736666,2.42925054082263
"ABalpapaap",NA,223,0,0,0,4,4,3505,0,0,0,0,0,4.92533783889244,3.12306170638185
"ABalpapaapa","arc_ant",310,0,2,0,4,0,3505,0,54,0,0,0,5.31146261378207,4.34190125086524
"ABalpapaapp","death",310,0,2,0,4,0,3505,251,334,0,0,0,5.83054723583493,3.52350213186952
"ABalpapap",NA,172,0,0,0,4,4,1483,0,0,0,0,0,5.30187533744069,3.54933217842943
"ABalpapapa",NA,222,0,0,0,4,4,3149,1732,0,0,0,0,3.69030831144606,2.26346380978088
"ABalpapapaa","RMDDL",290,0,2,0,4,0,3149,1784,0,0,0,0,4.84307783256728,2.89472690354448
"ABalpapapap",NA,290,0,2,0,4,0,3149,2235,0,0,0,0,5.48303899590336,3.01900428044312
"ABalpapapapa","death",400,0,0,0,NA,0,3149,2235,0,0,0,0,NA,NA
"ABalpapapapp","SMBDL",400,0,0,0,NA,0,3149,2235,0,0,0,0,NA,NA
"ABalpapapp",NA,222,0,0,0,4,4,2121,2007,0,0,43,0,4.6096904295899,2.83067539054681
"ABalpapappa","death",302,0,3,0,4,0,2121,3056,9,174,43,0,8.02568670449457,5.23619233269793
"ABalpapappp","SMBVL",302,0,3,0,4,0,2121,3638,0,0,43,0,6.02989705031522,4.83083063972887
"ABalpapp",NA,133,0,0,0,4,4,95,0,0,0,0,0,4.65788643720888,2.7473905466853
"ABalpappa",NA,168,0,0,0,4,4,525,234,0,0,0,0,5.5945777288389,3.94236096078087
"ABalpappaa",NA,213,0,0,0,4,4,5462,864,2,0,0,0,5.22084668731487,2.50578254703573
"ABalpappaaa","death",292,0,1,0,4,0,9142,864,30,0,0,0,6.13340960690881,3.77046175702655
"ABalpappaap",NA,292,0,2,0,4,0,19422,864,2,0,0,0,5.62866895710231,3.16074346784779
"ABalpappaapa","I2L",400,0,0,0,NA,0,19422,864,2,0,0,0,NA,NA
"ABalpappaapp","death",400,0,0,0,NA,0,19422,864,2,0,0,0,NA,NA
"ABalpappap",NA,213,0,0,0,4,4,2849,918,0,0,23,0,4.66443862509535,2.66087615977234
