paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20221004_JIM712_ceh.32_L4	X20221004_JIM712_ceh.32_L2	X20220915_JIM712_ceh.32_L4	X20220923_JIM712_ceh.32_L4
MSpppaa 0.3283	-2	-4	-6	0	2	4	7	3	-2	-2	-3	0	0	-1	7	1	0	2	2	-5	-3	1	1	-2	-1	-8
MSpppaaa NA																										
MSpppaap NA																										
MSpppap 0.6426	7	0	-2	-1	4	7	6	0	-3	1	-2	6	-2	-1	-5	-1	0	-2	1	-3	-7	-1	3	0	0	-7
MSpppapa NA																										
MSpppapp NA																										
MSpppp 0.7386	-1	-3	-3	-8	2	4	-3	1	-4	-4	3	3	4	-2	4	-2	3	-1	2	-2	1	5	1	1	2	-2
MSppppa 0.3431	2	-1	-3	2	4	2	0	-5	1	-4	-2	1	-1	2	-3	0	0	4	1	0	-1	-1	4	6	0	-2
MSppppaa NA																										
MSppppap NA																										
MSppppp 0.8869	2	-4	-5	-3	3	3	6	-3	4	1	-6	-1	6	1	0	0	1	0	-1	0	-1	-1	-1	1	6	-7
MSpppppa NA																										
MSpppppp NA																										
P0 NA																										
P1 NA																										
P2 NA						0							1	-1	-1		1		1				2			
P3 0.1815	3	2	0		-1	2	2	1	-1	-5	-1	-1	1	-1	-1	-2	1	0	1	0	-1	0	3	-5	-7	-6
P4 0.383	13	15	0	0	0	2	7	3	2	0	-1	-2	-1	-3	-5	-7	2	0	-8	-5	-5	-7	8	9	13	-9
Z2 NA																										
Z3 NA																										
ABplaappppa NA																										
ABplaappppp NA																										
MSpppappa NA																										
MSpppappp NA																										
P NA																										
