"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABalapaappa_X20221004_JIM712_ceh.32_L4","ABalapaappa","X20221004_JIM712_ceh.32_L4",NA,408.366666666667,1.40118997046558,NA,117.9,2.82134719593317,NA,NA,34.7,-83.2,-29.4894581283468
"ABalapaappaa_X20221004_JIM712_ceh.32_L4","ABalapaappaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaappap_X20221004_JIM712_ceh.32_L4","ABalapaappap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaappp_X20221004_JIM712_ceh.32_L4","ABalapaappp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,34.7,NA,NA
"ABalapap_X20221004_JIM712_ceh.32_L4","ABalapap","X20221004_JIM712_ceh.32_L4",166.1,170.245454545455,2.01109476765819,33.2,34.9045454545455,1.44237808686022,-1.70454545454545,-1.18176050376356,NA,NA,NA
"ABalapapa_X20221004_JIM712_ceh.32_L4","ABalapapa","X20221004_JIM712_ceh.32_L4",219.1,224.504545454545,3.20021982470063,51.4,52.6045454545455,2.57209887848283,-1.20454545454545,-0.4683122661505,NA,NA,NA
"ABalapapaa_X20221004_JIM712_ceh.32_L4","ABalapapaa","X20221004_JIM712_ceh.32_L4",302.9,NA,NA,82,NA,NA,NA,NA,NA,NA,NA
"ABalapapaaa_X20221004_JIM712_ceh.32_L4","ABalapapaaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
"ABalapapaap_X20221004_JIM712_ceh.32_L4","ABalapapaap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
"ABalapapap_X20221004_JIM712_ceh.32_L4","ABalapapap","X20221004_JIM712_ceh.32_L4",288.4,289.563636363636,4.39280206209088,67.5,63.4318181818182,2.62739892445458,4.06818181818182,1.5483685329689,NA,NA,NA
"ABalapapapa_X20221004_JIM712_ceh.32_L4","ABalapapapa","X20221004_JIM712_ceh.32_L4",NA,400.866666666667,11.4176763543785,NA,110.366666666667,12.0176259441428,NA,NA,36.5,-73.8666666666667,-6.14652735989576
"ABalapapapaa_X20221004_JIM712_ceh.32_L4","ABalapapapaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapapapap_X20221004_JIM712_ceh.32_L4","ABalapapapap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapapapp_X20221004_JIM712_ceh.32_L4","ABalapapapp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,36.5,NA,NA
"ABalapapp_X20221004_JIM712_ceh.32_L4","ABalapapp","X20221004_JIM712_ceh.32_L4",220.9,217.336363636364,2.61816829000834,53.1,45.45,1.28350339009328,7.65,5.96024915792704,NA,NA,NA
"ABalapappa_X20221004_JIM712_ceh.32_L4","ABalapappa","X20221004_JIM712_ceh.32_L4",284.8,277.586363636364,3.7545268492144,62.1,58.6454545454545,2.4845670836332,3.45454545454545,1.39040136098633,NA,NA,NA
"ABalapappaa_X20221004_JIM712_ceh.32_L4","ABalapappaa","X20221004_JIM712_ceh.32_L4",NA,399.066666666667,6.57672664274054,NA,120.633333333333,2.13619599600161,NA,NA,40.1,-80.5333333333333,-37.6994121719496
"ABalapappaaa_X20221004_JIM712_ceh.32_L4","ABalapappaaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapappaap_X20221004_JIM712_ceh.32_L4","ABalapappaap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapappap_X20221004_JIM712_ceh.32_L4","ABalapappap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA
"ABalapappp_X20221004_JIM712_ceh.32_L4","ABalapappp","X20221004_JIM712_ceh.32_L4",315.7,293.05,4.58753487076405,93.1,74.1045454545455,2.86696741601682,18.9954545454545,6.62562624162837,NA,NA,NA
"ABalapapppa_X20221004_JIM712_ceh.32_L4","ABalapapppa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA
"ABalapapppp_X20221004_JIM712_ceh.32_L4","ABalapapppp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA
"ABalapp_X20221004_JIM712_ceh.32_L4","ABalapp","X20221004_JIM712_ceh.32_L4",131.1,133.759090909091,1.52085786910173,31,30.45,1.46636901741618,0.550000000000001,0.375076118949328,NA,NA,NA
"ABalappa_X20221004_JIM712_ceh.32_L4","ABalappa","X20221004_JIM712_ceh.32_L4",174.5,177.286363636364,2.56502027366822,41.6,41.8863636363636,1.83725868633665,-0.286363636363632,-0.155864625103293,NA,NA,NA
"ABalappaa_X20221004_JIM712_ceh.32_L4","ABalappaa","X20221004_JIM712_ceh.32_L4",234.8,238.009090909091,2.51545869923012,58.6,59.1,2.61005382174026,-0.5,-0.191566930856094,NA,NA,NA
"ABalappaaa_X20221004_JIM712_ceh.32_L4","ABalappaaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,88.3,NA,NA
"ABalappaap_X20221004_JIM712_ceh.32_L4","ABalappaap","X20221004_JIM712_ceh.32_L4",315.7,337.869230769231,6.34131750445503,79.1,98.2307692307692,6.26928818598845,-19.1307692307692,-3.05150579511173,NA,NA,NA
"ABalappaapa_X20221004_JIM712_ceh.32_L4","ABalappaapa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA
"ABalappaapp_X20221004_JIM712_ceh.32_L4","ABalappaapp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA
"ABalappap_X20221004_JIM712_ceh.32_L4","ABalappap","X20221004_JIM712_ceh.32_L4",222.6,226.290909090909,2.78070033845691,46.4,47.3681818181818,1.93744710862034,-0.968181818181819,-0.499720386623233,NA,NA,NA
"ABalappapa_X20221004_JIM712_ceh.32_L4","ABalappapa","X20221004_JIM712_ceh.32_L4",NA,330.76875,12.3099807067274,NA,102.86875,12.4825060918605,NA,NA,102.3,-0.568750000000009,-0.0455637670684477
"ABalappapaa_X20221004_JIM712_ceh.32_L4","ABalappapaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalappapap_X20221004_JIM712_ceh.32_L4","ABalappapap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalappapp_X20221004_JIM712_ceh.32_L4","ABalappapp","X20221004_JIM712_ceh.32_L4",290.1,293.595454545455,4.35545386325907,65.7,65.6863636363636,2.4150905444025,0.0136363636363654,0.00564631569113246,NA,NA,NA
"ABalappappa_X20221004_JIM712_ceh.32_L4","ABalappappa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,34.7,NA,NA
"ABalappappp_X20221004_JIM712_ceh.32_L4","ABalappappp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,34.7,NA,NA
"ABalappp_X20221004_JIM712_ceh.32_L4","ABalappp","X20221004_JIM712_ceh.32_L4",169.4,170.627272727273,2.09425104652891,36.5,35.2045454545455,1.30328422976333,1.29545454545455,0.993992343243346,NA,NA,NA
"ABalapppa_X20221004_JIM712_ceh.32_L4","ABalapppa","X20221004_JIM712_ceh.32_L4",219.1,217.754545454545,2.09278289837724,48,45.4909090909091,1.84233523936311,2.50909090909091,1.36190789574122,NA,NA,NA
"ABalapppaa_X20221004_JIM712_ceh.32_L4","ABalapppaa","X20221004_JIM712_ceh.32_L4",295.6,294.031818181818,4.11482642851391,74.7,74.6545454545455,3.59877323975391,0.0454545454545467,0.01263056670324,NA,NA,NA
"ABalapppaaa_X20221004_JIM712_ceh.32_L4","ABalapppaaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA
"ABalapppaap_X20221004_JIM712_ceh.32_L4","ABalapppaap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA
"ABalapppap_X20221004_JIM712_ceh.32_L4","ABalapppap","X20221004_JIM712_ceh.32_L4",286.5,283.104545454545,3.28843243488259,65.6,63.7363636363636,2.16168925447217,1.86363636363636,0.862120380984831,NA,NA,NA
"ABalapppapa_X20221004_JIM712_ceh.32_L4","ABalapppapa","X20221004_JIM712_ceh.32_L4",NA,400.266666666667,5.61990510002912,NA,115.2,4.53100430368367,NA,NA,38.3,-76.9,-16.9719547468716
"ABalapppapaa_X20221004_JIM712_ceh.32_L4","ABalapppapaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapppapap_X20221004_JIM712_ceh.32_L4","ABalapppapap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapppapp_X20221004_JIM712_ceh.32_L4","ABalapppapp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,38.3,NA,NA
