"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"ABarapaaap","ABarapaaap",2.97358505637039,4.76022016869237,5.14380525637429,3.04599623442646,3.23254966761983,4.74989223174882,3.12678048451552,4.73317158184029,3.01184275285704,2.42933957145461,4.34336199141054,3.52032971244384,3.04419580499901,2.93965596551837,2.96909007404097,2.70242907460933,3.11437280225784,3.55846867362136,4.2118281976818,3.72934982160543,3.21196461873004,3.644015094666
"ABarapaaapa","ABarapaaapa",1.19333500866545,1.12410016764375,2.88280685314868,2.08406224403789,-Inf,2.4005804427504,2.16120161513804,2.76066636571052,2.41393012819878,1.80566238325966,1.88369210556326,3.9210932971143,2.21448398441101,2.18044251669754,2.68727608815106,3.37348446942866,2.56838794099003,1.15255803440683,2.33387262961096,1.74842631121507,1.79818581415332,1.61534264919692
"ABarapaaapp","ABarapaaapp",1.36863026012409,1.57946518268346,2.32733118918045,2.23321518460334,-Inf,2.24676765959658,1.48254741495862,2.40635317900746,2.55951382238001,2.17704200734777,1.68391253249645,3.51618007829549,2.46683290201656,2.44968964216946,1.80297143632149,2.04559283163154,2.61430254286557,2.47624196086245,1.57215711827258,2.31195871644659,1.63677445368777,2.61646269789926
"ABarapaap","ABarapaap",3.39891394187208,2.40542476386757,2.34458792167615,5.29639426364571,3.82225510252514,4.12121360716341,4.56502941473265,3.70341189080329,3.5368899301988,2.29839002983735,3.24713796421983,3.21594884123038,5.01862646251421,2.89000074295064,3.34577818883875,1.92346141257913,2.91369927678633,3.39868803240937,3.85193187280127,2.83359969717378,3.72539218104664,2.50676742202915
"ABarapaapa","ABarapaapa",3.74456755518217,2.91939797228841,5.1348563687847,3.25498746804142,3.18894332093442,3.72428095006826,2.60205338496,2.43795741628855,3.98018961705499,3.07276026225187,2.32703745259614,2.56120913438691,6.01933866936634,2.69262938279759,3.46033307048291,2.47841355714726,3.13581936318781,2.3247011715896,4.33662577842567,3.94684911387373,2.62316083059405,3.55405890755999
"ABarapaapaa","ABarapaapaa",1.51306479681641,1.52969559445213,1.83478086221983,2.00036916719166,1.53459160475228,1.75029762123178,1.25374264838725,1.30401211106904,2.66023495202961,3.05802203984108,1.47535671442904,2.51856018057704,1.81080742682081,2.87586720877752,1.53533646258387,2.14942015651073,2.83043969453153,1.79470422391609,1.79764910534767,2.16639076980722,3.46856008898636,2.20453343847674
"ABarapaapap","ABarapaapap",1.16732370321997,1.15700466285307,2.16208133880528,1.78276572371547,2.19487720052374,2.5698005544462,1.28087225299763,0.999026962502536,2.51206348704864,3.35191528462319,1.6745078097656,2.64694036014945,3.51125175527032,1.95783022081939,0.988292727104118,1.27065178040407,3.19090363927205,1.88749799021824,2.53767610226364,2.67906823645975,2.26918487567673,1.57484059393265
"ABarapaapp","ABarapaapp",3.05573945397267,3.61761123535154,2.69616651196869,2.45309355414606,1.93665170712515,4.49339735998395,2.65480229143557,4.14121484263839,3.09164348815636,1.94009734023885,3.04020239104445,1.96132113624315,3.63392531887221,2.86870595963156,2.89973068915861,1.91723503072318,2.44472436424021,2.17176933886509,4.13524231638291,2.11732913802537,2.71521240077885,3.16865346084244
"ABarapaappa","ABarapaappa",2.56682989356119,2.47579923511441,2.2437853904701,2.64680265073331,2.97984498047745,3.03024956559309,2.31725339636353,1.67631426511719,2.26182498029285,2.34469690220425,1.53997827426135,3.29139431205212,1.97889018652175,2.64013495513716,2.31056776033698,1.87824342867204,2.81344540470459,3.5510329075839,1.689772745011,2.45615811413353,2.48378153972912,2.89978762876766
"ABarapaappp","ABarapaappp",3.84081495312287,1.57351578092162,2.17997813112518,3.6411593800053,3.42821898882017,2.03834970406227,2.59253010456002,2.06477297099262,2.61349668391317,1.80964707032148,1.40985151174304,2.65007290884943,2.28733306442147,2.26731172963464,1.61328070878338,2.00117157900555,2.65262079475172,3.18640439090688,3.02106242600483,2.03998076200028,1.93640114474244,3.86966441674979
