"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"Cppaapp","Cppaapp",1.61620955736975,NA,2.38216222628646,NA,NA,NA,1.19943804246393,NA,1.61157394666566,1.36927847812774,0.856840836102952,NA,1.53621323962419,1.42489373098698,1.7369271242263,1.42734598670937,NA,0.860114947744111,1.86978631694869,2.53677197091115,1.44741736036526,1.39564739515115
"Cppap","Cppap",2.42069900209949,2.11997448867297,2.25151393289769,1.55023459014821,1.78295255739465,2.07581809698212,1.9304850580237,1.56573748687427,1.89805015282084,2.17382635745105,1.60843792031709,1.48420031662755,1.2891525709216,3.11266614828678,1.27014052041972,1.56342980988634,1.54513762560123,1.64074708571527,1.90117377967877,1.9032309394757,1.12892208339407,1.0711593812779
"Cppapa","Cppapa",2.54010510076954,2.02915234068634,2.02950535552873,1.6717779468852,1.52723729566336,1.25576925968855,1.065883396813,2.09780940851579,1.73979404920554,1.73873604595052,1.21893254746064,1.3123484873279,0.828936769123893,2.02097284213234,1.16588201974512,1.165591675083,1.73547708183936,1.15557479326636,0.819380436382043,2.19689319962524,0.872277420016536,1.28555099501948
"Cppapaa","Cppapaa",1.78106242313824,NA,1.85278322971299,1.12595468529161,NA,1.29152575081145,1.12121979903135,NA,1.08974409423651,1.1086922498799,0.942791825648499,1.09563926566857,0.929761565086674,1.70044558278024,1.61339638791343,0.962405268811514,0.758496070778614,1.09684037667617,1.31115449576677,2.49244966012664,1.74050297761997,2.7539326402243
"Cppapap","Cppapap",1.98089389372538,NA,3.77587346195977,1.9043078861955,NA,1.44770454998189,0.708623074806121,NA,2.53080434289305,1.18304993326358,1.22070910016811,1.26071844053882,1.23607138351986,1.24955294721595,2.53988067918397,2.25781731329957,1.63718349568631,1.41185892842096,1.52059909065926,2.90706156498075,1.21008941079049,2.04821375477407
"Cppapp","Cppapp",1.71611312240876,1.03152734954946,1.0036549931667,1.23244242259442,1.71488315399825,1.1871127906925,1.26069832603569,1.76438964481379,1.27793178504499,1.12690348238255,1.15869210146407,1.45085265109465,0.974683562865524,1.79780896654149,1.03065605419569,1.32350901008733,1.47551125574109,1.83927261702206,1.3879364891509,2.03005145860422,0.735281911882307,0.957287656784721
"Cppappa","Cppappa",NA,NA,1.47525297449939,NA,NA,NA,0.753323941104789,NA,0.996101353838261,0.798748982289735,1.68128126387155,0.381472609352872,1.13861245495018,0.693594455009082,NA,1.63003268742098,NA,NA,1.43771659470315,1.6156386313925,1.07955603181644,1.35198587126007
"Cppappp","Cppappp",NA,NA,0.455898145473603,NA,NA,NA,0.612425593655843,NA,1.39172043739563,0.871178604207472,0.938425368969105,1.14788215696862,1.5580361182539,0.933431654896562,NA,1.77641674920432,NA,NA,1.36179853551938,1.67539142023856,1.44396305595579,1.3285252794521
"Cppp","Cppp",4.92569864104235,4.17568036274966,2.94656650526147,1.99139058301439,4.87559868262625,2.51521269633206,2.9227604777809,3.0417763439732,4.51598618160945,2.36443651678634,2.84032717552106,3.72940580123151,1.92745981455735,4.84940076952216,3.40956870077512,2.8343031016367,2.15759783640901,1.81936004641748,2.34915879437873,2.70871229608585,2.10553009941458,2.39102751539556
"Cpppa","Cpppa",2.02531740122899,1.92083410179956,1.88898069242349,1.97305048896152,2.23065033517278,2.36631732443465,2.34700596049908,2.33809569681705,1.6722868780675,1.9708466010781,1.46458253923267,2.27649406794107,2.02956633501237,4.0080626833313,2.13497390774922,1.63146243269314,1.54221147234333,2.04380254111806,1.57534684146787,2.00166407268089,2.21341328050399,1.82254821784621
"Cpppaa","Cpppaa",1.58234949553457,1.89233360025452,1.66134255586231,1.25337222173194,3.17236347445785,0.947814178164034,1.63574488449269,2.16776230801646,1.87171284447677,1.84243608878832,0.826190676238187,1.82451817183299,1.17015756522751,2.05026594295904,0.956680478315582,1.01811817247502,1.72224934202349,0.769354007370077,1.49735865793361,2.46530672171391,1.13431370943546,1.57172468030738
"Cpppaaa","Cpppaaa",1.72715705156341,0.869412825059396,1.40588862450499,1.99824074601638,2.39937364360122,1.61542335837838,0.810835047336792,2.03731744727155,3.08247052295689,2.1976561862435,0.984553336279152,1.23415244263597,0.991715286603361,2.58589002151209,1.03013168653189,1.05981119375384,2.50856386634052,1.41948800142856,1.40795378207039,2.01365845055986,1.92164032081089,2.27247442738035
"Cpppaap","Cpppaap",1.27467717240923,0.940381465258778,1.6315481323205,1.8579263424663,2.21705974788923,1.65516890703543,0.944777818886839,2.02315028470565,2.94600841074597,2.5462826047537,1.09576119435872,1.16743927754349,0.810665894137891,1.66130311322569,0.877526071227319,1.5672135591768,2.42440901964943,0.974556569794133,1.46178606852842,2.36254118505366,1.45684214601909,2.51398621385255
"Cpppap","Cpppap",2.13784575476437,2.25657344022154,1.25562460148452,1.68121101483626,1.30393292883815,0.968401904026741,1.36026413880556,1.99565458344948,1.14238907698025,1.46678469657235,1.19715483445994,1.41613478970737,1.28272034876196,2.34790801420289,1.01516860566351,1.54176627619532,2.31296886213492,0.917527898281527,1.28618257235626,1.70714913588247,0.761366840367212,1.40588542161195
"Cpppapa","Cpppapa",1.04470519836154,1.54969990979019,2.05003663061601,1.07518362915937,1.73415573879827,2.83411610210968,1.64057099377691,2.13562751259139,1.67328915867295,2.31410458625784,1.65328687161474,1.11967915709456,0.772955376830531,1.53141731038622,1.06299141772519,1.98838799007214,2.36919610812673,1.07146225427704,1.69462766941587,2.53717953847403,2.14216719973803,2.99063900932615
"Cpppapp","Cpppapp",1.27032104580789,1.27811047286802,1.45415989471789,1.36402856829322,0.805031143703087,1.55171826712119,1.04934468161592,1.95662518642108,1.00053883374918,0.68069492802931,1.30003499830978,1.93819518842799,0.674835604736704,0.987761977822899,2.20009613496858,1.62798552943368,2.22494971391311,1.7339326192816,1.59017168738502,2.5931735002759,1.76981369637306,2.47366271461424
"Cpppp","Cpppp",2.54318414486714,2.68112577371692,1.62069722427699,2.79379469747987,1.71574360533314,1.7223890602517,1.73642313286134,1.62312474290915,2.23369881673881,1.85020950793253,1.90366015921284,2.44786248687516,1.36458688494056,3.45077070108746,2.03360167066744,2.03216706633458,2.21442718535554,1.43617901186935,1.89704482784505,2.09537383682554,1.17515700943832,1.36769980585755
"Cppppa","Cppppa",1.77727452542702,1.20085632836854,1.74403409065125,1.65731216521135,1.25963360859128,1.3277351550818,2.38995589007307,2.03892642215748,1.42399121133728,1.47474782773159,1.57400012856895,1.51543257530481,1.12755211395885,2.37414372865946,1.59597337210731,1.26074855684629,2.67605784838935,0.888129031663448,1.30442741846095,1.81802052054933,1.12069252629989,1.80120549304142
"Cppppaa","Cppppaa",1.17006154693053,0.606085768594474,2.51426042758265,1.81276112303518,1.6031633547833,2.41638018900068,1.59788067100842,2.03807100118164,2.08032707250552,1.90156103090123,0.808684137798532,1.49630519890648,1.47317879676945,1.55789080516611,1.50039140369867,1.48840923135972,2.84604299573647,1.52210777142531,1.72826344154931,3.18485553045121,1.08554444340632,2.67528719535503
"Cppppap","Cppppap",0.997119580536212,1.41845081758757,1.45378820320978,1.53566937424533,1.52143678555816,0.969530911830964,2.02127523219834,2.10843876415656,1.68024369677242,1.91750466946336,1.56626822229539,2.12708286488727,0.958589898927829,1.26473429015273,2.18987787058037,1.66742808449199,3.27239198790239,0.869189739210183,1.35022427875525,2.71489795335027,1.89045552139484,1.93277254628402
"Cppppp","Cppppp",1.6628516151324,1.2853950756685,1.25817808224899,1.55560742578599,1.45454154387055,1.72652806115211,1.85456137794234,1.60396836807731,1.18032231795287,1.15707294443173,1.3763212217947,1.66764797821883,0.858333362381459,1.93067363192313,1.16531321033627,1.82391545247704,2.94452007679905,2.05043398908035,0.963926422927203,1.5977146577855,0.970340063005825,1.14162303169124
"Cpppppd","Cpppppd",1.27252139574587,0.78065803111296,2.79265861929985,1.48282833310834,NA,1.391602905181,1.58068757443988,NA,1.8492291156106,0.978079735027049,2.51676075362567,0.982265790898613,0.691920684137893,1.80360815996415,1.45681926461438,2.16236898785709,NA,2.23540929370694,1.10737022472109,2.21041423472741,2.39322193080571,3.04983159405877
"Cpppppv","Cpppppv",1.58013713722532,1.70589401659932,1.74342123344227,1.2718456992686,NA,1.20535832497882,1.54208565931726,NA,1.67814050156133,0.768216334243606,1.88167409241031,0.65093107647933,0.969387857759219,1.69356765135281,1.81438926107498,1.4389301060602,NA,1.50911187143344,1.55914786190915,2.42141249130712,2.49374494213835,2.81728632805974
"D","D",2.43708666593963,4.47965085153495,2.23364233267982,2.62123550334397,4.41902762924783,4.17399508933624,2.67212581478101,2.21460232714054,2.33384475011359,3.41242637965411,2.37950298962798,3.74913250731798,2.34897357400398,3.20551367080945,4.36032432456431,3.29893346278255,4.99542351810163,1.61475264957404,2.88386472121576,2.48966674887849,1.59523827741278,1.71873547810028
"Da","Da",1.6605623675216,3.99263794795492,1.85047826424939,2.15471034484793,5.18589223760221,1.96284307205726,2.92376120089991,1.49081333817935,3.02662557582723,2.37372236038989,1.79066557966719,3.32690996817333,2.59469743306592,3.38682334154089,5.60875455452084,4.68726056354168,2.00314439056701,1.7967647645933,2.49086080156211,3.05541156156773,2.41963220414177,1.61042376534333
"Daa","Daa",1.7635270207578,2.67714954801055,2.15883640073753,2.23588267646692,2.88242141196269,1.82480203964805,1.57271478355305,2.42528235516639,2.02273132944474,2.99042510048751,1.48648028804695,2.02202607997466,2.47241336428241,3.99104755065443,1.63447143127972,2.04860697816089,2.33379759266541,1.72840112569239,1.93510403119014,2.73442041592915,1.33289748111284,1.57154158312551
"Daaa","Daaa",1.28777217519351,2.07929541983099,2.34277104880812,1.33573261634896,1.66074675206944,1.83746177015797,1.45894878018953,1.48024305909203,4.12851502748411,2.06375948795187,2.04901751775663,2.83216121702597,1.04063713758221,1.90706353943052,1.13496003554286,1.33614131638353,2.86689672336004,1.0980736075936,1.20109233478851,1.74625927753818,1.3991731282379,1.26901860397603
"Daaaa","Daaaa",0.816246775652789,2.27263600507092,4.82726884955616,1.36059165778534,1.70836275288125,2.1301684210917,1.197883116627,1.26249591355015,2.15154902899165,1.56395678723599,2.0045924911394,1.31304249940875,1.28478543756808,1.3352208259965,1.5498422915794,1.59056251754845,2.02843094827526,1.26400634164766,1.62922543171478,1.7414812666841,5.51248539338798,1.50977015356036
"Daaap","Daaap",4.43263078020084,3.4094005970568,7.84047663857622,5.00650800019888,3.32248236670493,3.89746177122663,2.32133889603976,2.1814992081819,2.07706646865598,1.61635658253047,2.57024291915815,1.05359248649386,1.34581125521897,0.965725965036841,1.12650379995923,1.66085493890137,3.9206001715421,1.44652053742386,1.28507662512678,0.909635984480692,1.72586315351522,3.23697215252926
"Daap","Daap",3.19048579211858,4.3052312379425,3.68649309268648,3.18912255961587,2.0882026846997,2.13706725045076,1.97432385501064,2.13694682333869,4.61155148112928,2.70311114870132,1.70246327455182,2.02883244137398,1.23221003628715,1.68101179788466,1.48385315001411,1.60472154158756,3.03760063420132,0.970876909591264,1.57171649114541,1.67239074244302,1.4624215501297,1.20665014274702
"Daapa","Daapa",7.16935109470137,8.39519909188485,9.66319065699085,7.74261087832611,1.54324606030641,3.34600646664886,1.25164423405884,1.30306926221533,4.64639883534344,2.36092786353467,2.79881121130397,0.902317610226108,1.41180150702257,2.01789486934788,2.0696724312384,2.57344722015713,3.50469555779184,0.964587493165975,1.19030628962463,1.14304366972223,1.63328303205337,1.65533326373994
"Daapp","Daapp",7.09723639292339,8.36972216924324,9.75586406094638,9.47521468875002,1.12686611806349,3.47827956159004,1.56439697390386,1.03056695567097,4.14464985188676,2.76472734633097,3.31367179412894,1.31871814221338,1.63032756165753,1.63763025295851,1.81942280036077,3.00341422184169,4.37200672991516,1.7481963907906,1.16556332359203,1.29624966715713,2.0774320596033,2.30245304616593
"Dap","Dap",2.61665812045797,2.10047074725698,2.45763703103275,1.8263656426764,3.23599110607485,1.49938909630745,1.87182451315192,2.41884728655695,2.08700157830562,2.57105023298059,1.45408772702259,2.35962436022618,2.17605727728417,4.5160622667368,2.26740227435774,2.86136905988787,2.703845825931,2.11190675553914,2.03631596029141,2.70074584880456,1.65723089228177,1.94074909464062
