paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABalapp 1	1	3	-2	-2	0	-1	-2	0	-1	-2	3	0	1	-2	-1	1	0	2	1	0	1	-1	1	3	-2	-2	0	-1	-2	0	-1	-2	3	0	1	-2	-1	1	0	2	1	0	1	-1
ABalappa 1	4	2	1	0	-3	0	-1	-1	-1	1	4	0	0	-3	-1	1	0	0	-2	-2	-1	1	4	2	1	0	-3	0	-1	-1	-1	1	4	0	0	-3	-1	1	0	0	-2	-2	-1	1
ABalappaa 1	-4	-2	5	2	4	1	2	-1	1	1	-1	4	-3	-1	-4	-2	0	-2	-3	3	1	0	-4	-2	5	2	4	1	2	-1	1	1	-1	4	-3	-1	-4	-2	0	-2	-3	3	1	0
ABalappaaa NA																																												
ABalappaap 1	3	6		3	-5				-14						-7	2	8	3	6	-4	0	-2	3	6		3	-5				-14						-7	2	8	3	6	-4	0	-2
ABalappaapa NA																																												
ABalappaapp NA																																												
ABalappap 1	-2	-2	4	0	1	-1	2	-1	-2	0	0	2	0	-3	0	0	-1	-2	-1	3	0	3	-2	-2	4	0	1	-1	2	-1	-2	0	0	2	0	-3	0	0	-1	-2	-1	3	0	3
ABalappapa 1	1	11		5	11	-1		-18	-17	-24					6	-14	8	15	0	15	8	-5	1	11		5	11	-1		-18	-17	-24					6	-14	8	15	0	15	8	-5
ABalappapaa NA																																												
ABalappapap NA																																												
ABalappapp 1	1	-2	6	3	-4	-1	-2	1	3	5	1	0	0	-2	-3	-1	-1	0	-2	1	-1	-1	1	-2	6	3	-4	-1	-2	1	3	5	1	0	0	-2	-3	-1	-1	0	-2	1	-1	-1
ABalappappa NA																																												
ABalappappp NA																																												
ABalappp 1	1	0	1	-1	0	-2	-1	1	1	1	3	0	-2	0	-2	-1	-1	2	-1	1	0	0	1	0	1	-1	0	-2	-1	1	1	1	3	0	-2	0	-2	-1	-1	2	-1	1	0	0
ABalapppa 1	-1	-1	3	-2	0	-1	4	-3	-3	-1	0	1	2	0	-1	0	-1	0	-1	3	0	2	-1	-1	3	-2	0	-1	4	-3	-3	-1	0	1	2	0	-1	0	-1	0	-1	3	0	2
ABalapppaa 1	2	1	8	-3	-4	2	-4	0	-3	1	-4	-1	3	1	3	-5	0	7	1	-2	3	-5	2	1	8	-3	-4	2	-4	0	-3	1	-4	-1	3	1	3	-5	0	7	1	-2	3	-5
ABalapppaaa NA																																												
ABalapppaap NA																																												
ABalapppap 1	-2	0	4	-2	2	-2	2	-4	-3	-2	0	1	3	1	1	-1	2	-2	2	3	-1	0	-2	0	4	-2	2	-2	2	-4	-3	-2	0	1	3	1	1	-1	2	-2	2	3	-1	0
ABalapppapa 1																			3		-5	2																			3		-5	2
ABalapppapaa NA																																												
ABalapppapap NA																																												
ABalapppapp NA																																												
ABalapppp 1	1	-1	-2	0	0	-1	1	-1	-3	-1	0	3	0	-1	-1	-1	-1	1	-2	6	1	2	1	-1	-2	0	0	-1	1	-1	-3	-1	0	3	0	-1	-1	-1	-1	1	-2	6	1	2
ABalappppa 1	-3	-1	0	3	0	2	1	0	4	2	-1	0	0	-2	0	-4	-1	0	-4	3	2	0	-3	-1	0	3	0	2	1	0	4	2	-1	0	0	-2	0	-4	-1	0	-4	3	2	0
ABalappppaa 1																			5		-13	8																			5		-13	8
ABalappppaaa NA																																												
ABalappppaap NA																																												
ABalappppap NA																																												
ABalappppp 1	-6	2	0	3	2	5	0	-4	-1	-4	0	3	1	1	0	-1	5	-2	0	-3	-1	-3	-6	2	0	3	2	5	0	-4	-1	-4	0	3	1	1	0	-1	5	-2	0	-3	-1	-3
ABalapppppa NA																																												
ABalapppppp NA																																												
ABalp 1	3	2	-1	-7	1	0	0	0	1	0	3	1	0	-1	-2	-1	1	1	0	-1	1	-1	3	2	-1	-7	1	0	0	0	1	0	3	1	0	-1	-2	-1	1	1	0	-1	1	-1
ABalpa 1	-1	0	0	-2	2	-2	0	2	-1	1	0	-1	1	-3	0	1	1	3	0	-1	0	1	-1	0	0	-2	2	-2	0	2	-1	1	0	-1	1	-3	0	1	1	3	0	-1	0	1
ABalpaa 1	1	1	-3	-3	2	0	1	-1	0	-1	1	0	0	1	0	0	1	0	-1	0	2	0	1	1	-3	-3	2	0	1	-1	0	-1	1	0	0	1	0	0	1	0	-1	0	2	0
ABalpaaa 1	2	1	0	-2	-4	-4	1	-2	1	1	4	-1	2	-3	-2	2	1	1	2	0	2	1	2	1	0	-2	-4	-4	1	-2	1	1	4	-1	2	-3	-2	2	1	1	2	0	2	1
ABalpaaaa 1	-2	-3	3	1	-1	1	3	-2	2	1	-1	-3	-2	0	1	1	0	3	-3	4	2	-2	-2	-3	3	1	-1	1	3	-2	2	1	-1	-3	-2	0	1	1	0	3	-3	4	2	-2
ABalpaaaaa 1	-2	-2	6	3	0	-7	5	1	0	-3	-1	-5	11	5	-2	-5	1	0	-1	1	2	-5	-2	-2	6	3	0	-7	5	1	0	-3	-1	-5	11	5	-2	-5	1	0	-1	1	2	-5
ABalpaaaaaa NA																																												
ABalpaaaaap NA																																												
ABalpaaaap 1	-1	-4	1	1	1	-2	-2	1	0	-4	1	-7	9	6	-6	-5	11	3	-5	5	3	-8	-1	-4	1	1	1	-2	-2	1	0	-4	1	-7	9	6	-6	-5	11	3	-5	5	3	-8
ABalpaaaapa NA																																												
ABalpaaaapp NA																																												
ABalpaaap 1	-2	-3	2	1	-1	-1	0	0	-1	3	1	-1	0	-1	-2	3	-2	1	0	2	2	0	-2	-3	2	1	-1	-1	0	0	-1	3	1	-1	0	-1	-2	3	-2	1	0	2	2	0
ABalpaaapa 1	0	-1		5	-1	-6	2	-3	-2	0	-5	-3	1	7	-5	-1	3	3	0	3	5	-4	0	-1		5	-1	-6	2	-3	-2	0	-5	-3	1	7	-5	-1	3	3	0	3	5	-4
ABalpaaapaa NA																																												
ABalpaaapap NA																																												
ABalpaaapp 1	-3	1	8	4	5	-9	-4	-5	0	9	5	-1	-2	7	-5	1	1	2	-5	-3	-4	-3	-3	1	8	4	5	-9	-4	-5	0	9	5	-1	-2	7	-5	1	1	2	-5	-3	-4	-3
ABalpaaappa NA																																												
ABalpaaappp NA																																												
ABalpaap 1	2	1	0	-2	-1	-1	2	-1	-1	0	3	-2	1	-2	-3	0	0	1	3	0	0	1	2	1	0	-2	-1	-1	2	-1	-1	0	3	-2	1	-2	-3	0	0	1	3	0	0	1
ABalpaapa 1	0	-2	2	-2	-2	-2	2	-1	-1	2	1	0	-1	0	-3	0	1	2	1	3	1	-1	0	-2	2	-2	-2	-2	2	-1	-1	2	1	0	-1	0	-3	0	1	2	1	3	1	-1
ABalpaapaa 1	-5	1	4	-1	-2	-2	1	2	-3	6	0	-3	-2	-5	0	-2	-3	5	-2	10	-1	0	-5	1	4	-1	-2	-2	1	2	-3	6	0	-3	-2	-5	0	-2	-3	5	-2	10	-1	0
ABalpaapaaa NA																																												
ABalpaapaap NA																																												
ABalpaapap 1	1	0	-3	-1	3	3	5	-2	3	-1	0	-1	-3	0	-3	-1	1	1	-3	2	-1	-1	1	0	-3	-1	3	3	5	-2	3	-1	0	-1	-3	0	-3	-1	1	1	-3	2	-1	-1
ABalpaapapa NA																																												
ABalpaapapp NA																																												
ABalpaapp 1	-1	0	1	-3	-6	-2	5	2	-2	1	3	-1	0	3	-5	2	-5	3	2	1	3	-1	-1	0	1	-3	-6	-2	5	2	-2	1	3	-1	0	3	-5	2	-5	3	2	1	3	-1
