"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","CCDefectCount.Parents.","CCDefectCount.Sisters.","CCDefectCount.Aunts.","PosDefectCount.Cells.","PosDefectCount.Parents.","PosDefectCount.Sisters.","PosDefectCount.Aunts.","AngDefectCount.Cells.","AngDefectCount.Parents.","AngDefectCount.Sisters.","AngDefectCount.Aunts.","cellObservedCounts.Cells.","cellObservedCounts.Parents.","cellObservedCounts.Sisters.","cellObservedCounts.Aunts.","divObservedCounts.Cells.","divObservedCounts.Parents.","divObservedCounts.Sisters.","divObservedCounts.Aunts.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells."
"ABalpaap",NA,134,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-146,-294,0,-107,-38
"ABalpaapa",NA,170,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-132,-294,0,-107,-38
"ABalpaapaa",NA,212,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,212,-197,0,-57,-38
"ABalpaapaaa","arcpost",284,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,212,-197,0,-57,-38
"ABalpaapaap","e2DL",284,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,251,-197,0,-57,-38
"ABalpaapap",NA,212,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,25,-294,0,-63,-38
"ABalpaapapa","mc1DL",263,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,364,-294,0,-63,-38
"ABalpaapapp","m3L",263,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,353,-294,0,-63,-38
"ABalpaapp",NA,170,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-108,-294,0,-39,-38
"ABalpaappa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-85,-181,0,-30,-12
"ABalpaappaa","arc_ant",309,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-16,-159,36,-30,-12
"ABalpaappap","arcpost",309,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-85,-181,0,-30,-12
"ABalpaappp",NA,222,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-108,-294,0,-3,-38
"ABalpaapppa","hyp1",297,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-44,-294,0,-3,-38
"ABalpaapppp","hyp2",297,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-88,193,39,-3,-38
"ABalpap",NA,102,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-173,-294,0,-107,-38
"ABalpapa",NA,133,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-136,-294,0,-81,-38
"ABalpapaa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-69,-136,-294,0,-53,-38
"ABalpapaaa",NA,223,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-54,-118,-189,0,-16,-23
